tv_series,tv_seriesLabel,start_year,end_year,awardLabel,subjectLabel
http://www.wikidata.org/entity/Q8539,Теория большого взрыва,2007,2019,Премия «Эмми» за лучший комедийный сериал,
http://www.wikidata.org/entity/Q3815,Грань,2008,2013,премия «Хьюго» за лучшую постановку (малая форма),преступность
http://www.wikidata.org/entity/Q114917662,The Really Loud House,2022,2024,Премия «Эмми» за лучший комедийный сериал,дом
http://www.wikidata.org/entity/Q114917662,The Really Loud House,2022,2024,Премия «Эмми» за лучший комедийный сериал,тинейджер
http://www.wikidata.org/entity/Q114917662,The Really Loud House,2022,2024,Премия «Эмми» за лучший комедийный сериал,семья
http://www.wikidata.org/entity/Q8539,Теория большого взрыва,2007,2019,Премия Гильдии киноактёров США за лучший актёрский состав в комедийном сериале,
http://www.wikidata.org/entity/Q8539,Теория большого взрыва,2007,2019,Премия Гильдии киноактёров США за лучшую мужскую роль в комедийном сериале,
http://www.wikidata.org/entity/Q64511687,Hierro,2019,2021,премия «Ферос» за лучший драматический сериал,
http://www.wikidata.org/entity/Q8539,Теория большого взрыва,2007,2019,Премия «Эмми» в категории «Лучшая приглашённая актриса в комедийном телесериале»,
http://www.wikidata.org/entity/Q8539,Теория большого взрыва,2007,2019,Премия «Спутник» за лучший телевизионный сериал — комедия или мюзикл,
http://www.wikidata.org/entity/Q8539,Теория большого взрыва,2007,2019,премия «Спутник» за лучшую женскую роль в телевизионном сериале — комедия или мюзикл,
http://www.wikidata.org/entity/Q8539,Теория большого взрыва,2007,2019,"Премия «Спутник» за лучшую женскую роль второго плана — мини-сериал, телесериал или телефильм",
http://www.wikidata.org/entity/Q3815,Грань,2008,2013,Teen Choice Award for Choice TV Actress Fantasy/Sci-Fi,путешествие во времени
http://www.wikidata.org/entity/Q8539,Теория большого взрыва,2007,2019,Премия Гильдии киноактёров США за лучшую женскую роль в комедийном сериале,
http://www.wikidata.org/entity/Q3815,Грань,2008,2013,Teen Choice Award за лучшую мужскую роль в фильме-драме,путешествие во времени
http://www.wikidata.org/entity/Q114917662,The Really Loud House,2022,2024,Премия «Эмми» за лучший комедийный сериал,предподростковый возраст
http://www.wikidata.org/entity/Q8539,Теория большого взрыва,2007,2019,Премия Гильдии режиссёров Америки за лучшую режиссуру — Комедийный телесериал,
http://www.wikidata.org/entity/Q8539,Теория большого взрыва,2007,2019,прайм-тайм премия «Эмми» в категории «Лучший приглашённый актёр в комедийном телесериале»,
http://www.wikidata.org/entity/Q8539,Теория большого взрыва,2007,2019,Премия Ассоциации телевизионных критиков за выдающиеся достижения в комедии,
http://www.wikidata.org/entity/Q8539,Теория большого взрыва,2007,2019,Премия «Золотой глобус» за лучший телевизионный сериал — комедия или мюзикл,
http://www.wikidata.org/entity/Q8539,Теория большого взрыва,2007,2019,Kids' Choice Award for Favorite TV Show,
http://www.wikidata.org/entity/Q114917662,The Really Loud House,2022,2024,Премия «Эмми» за лучший комедийный сериал,подростковый возраст
http://www.wikidata.org/entity/Q114917662,The Really Loud House,2022,2024,Kids' Choice Award for Favorite TV Show,дом
http://www.wikidata.org/entity/Q114917662,The Really Loud House,2022,2024,Kids' Choice Award for Favorite TV Show,тинейджер
http://www.wikidata.org/entity/Q114917662,The Really Loud House,2022,2024,Kids' Choice Award for Favorite TV Show,семья
http://www.wikidata.org/entity/Q3815,Грань,2008,2013,Премия Гильдии сценаристов США за лучший сценарий в новом телесериале,путешествие во времени
http://www.wikidata.org/entity/Q3815,Грань,2008,2013,Teen Choice Award for Choice TV Actress Fantasy/Sci-Fi,паранормальные явления
http://www.wikidata.org/entity/Q3815,Грань,2008,2013,Teen Choice Award за лучшую мужскую роль в фильме-драме,паранормальные явления
http://www.wikidata.org/entity/Q8539,Теория большого взрыва,2007,2019,Премия Ассоциации телевизионных критиков за личные достижения в комедии,
http://www.wikidata.org/entity/Q114917662,The Really Loud House,2022,2024,Премия «Эмми» за лучший комедийный сериал,молодой человек
http://www.wikidata.org/entity/Q74285789,The Devil Next Door,2019,2019,Премия Hollywood Music in Media,Иван Николаевич Демьянюк
http://www.wikidata.org/entity/Q3815,Грань,2008,2013,"Премия «Спутник» за лучшую мужскую роль второго плана — мини-сериал, телесериал или телефильм",преступность
http://www.wikidata.org/entity/Q3815,Грань,2008,2013,Премия Гильдии сценаристов США за лучший сценарий в новом телесериале,паранормальные явления
http://www.wikidata.org/entity/Q114917662,The Really Loud House,2022,2024,Премия «Эмми» за лучший комедийный сериал,ломтик жизни
http://www.wikidata.org/entity/Q114917662,The Really Loud House,2022,2024,Kids' Choice Award for Favorite TV Show,предподростковый возраст
http://www.wikidata.org/entity/Q114917662,The Really Loud House,2022,2024,Make-Up Artists and Hair Stylists Guild Award for Contemporary Makeup in Television and New Media Series,дом
http://www.wikidata.org/entity/Q114917662,The Really Loud House,2022,2024,Make-Up Artists and Hair Stylists Guild Award for Contemporary Makeup in Television and New Media Series,тинейджер
http://www.wikidata.org/entity/Q114917662,The Really Loud House,2022,2024,Make-Up Artists and Hair Stylists Guild Award for Contemporary Makeup in Television and New Media Series,семья
http://www.wikidata.org/entity/Q3815,Грань,2008,2013,премия «Хьюго» за лучшую постановку (малая форма),паранормальные явления
http://www.wikidata.org/entity/Q8539,Теория большого взрыва,2007,2019,премия «Эмми» за лучшую женскую роль второго плана в комедийном телесериале,
